

1788085082.428771936  Node Startup
1788085085.527335643 INFO /command_interpreter [command_interpreter.py:65(CommandInterpreter.__init__)] [topics: /drone_control/command_response, /drone_control/command, /command_interpreter/node_health, /rosout] Command Interpreter initialized
1788085085.572418212 INFO /camera_calibration [camera_calibration.py:29(CameraCalibration.__init__)] [topics: /camera/camera_info, /rosout, /tf] Camera calibration node started
1788085085.850079774 INFO /parameter_validator [parameter_validator.py:65(ParameterValidator.__init__)] [topics: /rosout] Parameter validator initialized successfully
1788085086.233869075 INFO /vehicle_state_monitor [vehicle_state_monitor.py:83(VehicleStateMonitor.__init__)] [topics: /drone_status, /diagnostic_status, /mavros/state, /battery_percentage, /mavros/battery, /rosout, /vehicle_state_monitor/node_health, /mavros/local_position/velocity] Vehicle State Monitor started
1788085086.652096033 INFO /sensor_fusion [sensor_fusion.py:40(SensorFusion.__init__)] [topics: /mavros/local_position/pose, /mavros/global_position/global, /sensor_fusion/node_health, /rosout, /mavros/imu/data] Sensor Fusion initialized
1788085086.664557456 INFO /mission_manager [mission_manager.py:115(MissionManager.__init__)] [topics: /tracked_targets, /mission_manager/node_health, /drone_control/command, /mission_status, /safety_status, /rosout] Mission Manager initialized
1788085087.590234518 INFO /safety_monitor [safety_monitor.py:78(SafetyMonitor.__init__)] [topics: /mavros/state, /mavros/local_position/velocity, /emergency_triggered, /safety_monitor/node_health, /safety_status, /mavros/local_position/pose, /rosout] Health publisher: /safety_monitor/node_health
1788085087.595583200 INFO /system_health_monitor [system_health_monitor.py:77(SystemHealthMonitor.__init__)] [topics: /performance_metrics, /health/check_all, /system_health, /system_alert, /diagnostic_status, /rosout] System Health Monitor initialized
1788085087.594958782 INFO /health_checker [health_checker.py:58(HealthChecker.__init__)] [topics: /target_tracking_controller/node_health, /vehicle_state_monitor/node_health, /mission_manager/node_health, /yolo_detector/node_health, /safety_monitor/node_health, /rosout, /system_health, /command_interpreter/node_health] Health Checker initialized
1788085090.869736671 WARN /target_tracking_controller [target_tracking_controller.py:103(TargetTrackingController.__init__)] [topics: /mavros/local_position/odom, /mavros/state, /target_tracking_controller/node_health, /rosout, /mavros/setpoint_raw/local, /detected_objects, /tracked_targets, /mission_status, /mavros/setpoint_velocity/cmd_vel_unstamped] MAVROS set_mode service not available: timeout exceeded while waiting for service /mavros/set_mode
1788085092.477626562 WARN /health_checker [health_checker.py:90(HealthChecker._check_health)] [topics: /target_tracking_controller/node_health, /vehicle_state_monitor/node_health, /mission_manager/node_health, /yolo_detector/node_health, /safety_monitor/node_health, /rosout, /system_health, /command_interpreter/node_health] Unhealthy nodes: 2
1788085092.486549615 WARN /health_checker [health_checker.py:92(HealthChecker._check_health)] [topics: /target_tracking_controller/node_health, /vehicle_state_monitor/node_health, /mission_manager/node_health, /yolo_detector/node_health, /safety_monitor/node_health, /rosout, /system_health, /command_interpreter/node_health]   yolo_detector: No health report
1788085092.494662046 WARN /health_checker [health_checker.py:92(HealthChecker._check_health)] [topics: /target_tracking_controller/node_health, /vehicle_state_monitor/node_health, /mission_manager/node_health, /yolo_detector/node_health, /safety_monitor/node_health, /rosout, /system_health, /command_interpreter/node_health]   target_tracking_controller: No health report
1788085092.473900318 INFO /trajectory_planner [trajectory_planner.py:94(TrajectoryPlanner.__init__)] [topics: /mavros/local_position/odom, /mission_status, /tracked_targets, /planner_status, /planned_trajectory, /waypoints, /rosout, /path] Trajectory Planner initialized
1788085092.718926429 INFO /performance_monitor [performance_monitor.py:103(PerformanceMonitor.__init__)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Performance Monitor initialized
1788085093.004456758 WARN /target_tracking_controller [target_tracking_controller.py:110(TargetTrackingController.__init__)] [topics: /mavros/local_position/odom, /mavros/state, /target_tracking_controller/node_health, /rosout, /mavros/setpoint_raw/local, /detected_objects, /tracked_targets, /mission_status, /mavros/setpoint_velocity/cmd_vel_unstamped] MAVROS arming service not available: timeout exceeded while waiting for service /mavros/cmd/arming
1788085093.014574766 INFO /target_tracking_controller [target_tracking_controller.py:126(TargetTrackingController.__init__)] [topics: /mavros/local_position/odom, /mavros/state, /target_tracking_controller/node_health, /rosout, /mavros/setpoint_raw/local, /detected_objects, /tracked_targets, /mission_status, /mavros/setpoint_velocity/cmd_vel_unstamped] Target Tracking Controller started in SEARCHING mode
1788085093.056578397 INFO /yolo_detector [yolo_detector.py:97(YOLODetector.__init__)] [topics: /camera/color/image_raw, /drone_control/command, /mission_status, /detected_objects, /command_response, /rosout, /yolo_detector/node_health] Vehicle classes: [2, 3, 5, 6, 7]
1788085094.721027374 INFO /performance_monitor [performance_monitor.py:121(PerformanceMonitor.start_monitoring)] [topics: /performance/benchmark, /diagnostic_status, /rosout, /performance/metrics, /performance/alert, /performance/command, /performance/benchmark_results] Performance monitoring started
