

1788082964.165483398  Node Startup
1788082967.575349092 INFO /camera_calibration [camera_calibration.py:29(CameraCalibration.__init__)] [topics: /camera/camera_info, /rosout, /tf] Camera calibration node started
1788082967.767464399 INFO /sensor_fusion [sensor_fusion.py:40(SensorFusion.__init__)] [topics: /mavros/local_position/pose, /mavros/global_position/global, /mavros/imu/data, /rosout, /sensor_fusion/node_health] Sensor Fusion initialized
1788082968.050133705 INFO /mission_manager [mission_manager.py:115(MissionManager.__init__)] [topics: /mission_status, /tracked_targets, /mission_manager/node_health, /safety_status, /drone_control/command, /rosout] Mission Manager initialized
1788082968.131547451 INFO /safety_monitor [safety_monitor.py:78(SafetyMonitor.__init__)] [topics: /mavros/state, /mavros/local_position/pose, /safety_status, /rosout, /emergency_triggered, /mavros/local_position/velocity, /safety_monitor/node_health] Health publisher: /safety_monitor/node_health
1788082968.259445428 INFO /parameter_validator [parameter_validator.py:65(ParameterValidator.__init__)] [topics: /rosout] Parameter validator initialized successfully
1788082968.256808280 INFO /system_health_monitor [system_health_monitor.py:77(SystemHealthMonitor.__init__)] [topics: /diagnostic_status, /system_alert, /health/check_all, /system_health, /rosout, /performance_metrics] System Health Monitor initialized
1788082968.334622621 INFO /command_interpreter [command_interpreter.py:65(CommandInterpreter.__init__)] [topics: /command_interpreter/node_health, /drone_control/command_response, /drone_control/command, /rosout] Command Interpreter initialized
1788082968.483884096 INFO /vehicle_state_monitor [vehicle_state_monitor.py:83(VehicleStateMonitor.__init__)] [topics: /drone_status, /battery_percentage, /vehicle_state_monitor/node_health, /mavros/state, /rosout, /mavros/local_position/velocity, /mavros/battery, /diagnostic_status] Vehicle State Monitor started
1788082968.648971319 INFO /health_checker [health_checker.py:58(HealthChecker.__init__)] [topics: /system_health, /target_tracking_controller/node_health, /yolo_detector/node_health, /command_interpreter/node_health, /vehicle_state_monitor/node_health, /rosout, /mission_manager/node_health, /safety_monitor/node_health] Health Checker initialized
1788082971.045445442 WARN /target_tracking_controller [target_tracking_controller.py:103(TargetTrackingController.__init__)] [topics: /rosout, /mavros/setpoint_velocity/cmd_vel_unstamped, /detected_objects, /mavros/local_position/odom, /tracked_targets, /target_tracking_controller/node_health, /mission_status, /mavros/setpoint_raw/local, /mavros/state] MAVROS set_mode service not available: timeout exceeded while waiting for service /mavros/set_mode
1788082971.648983478 INFO /yolo_detector [yolo_detector.py:97(YOLODetector.__init__)] [topics: /mission_status, /command_response, /yolo_detector/node_health, /camera/color/image_raw, /drone_control/command, /detected_objects, /rosout] Vehicle classes: [2, 3, 5, 6, 7]
1788082973.188632488 WARN /target_tracking_controller [target_tracking_controller.py:110(TargetTrackingController.__init__)] [topics: /rosout, /mavros/setpoint_velocity/cmd_vel_unstamped, /detected_objects, /mavros/local_position/odom, /tracked_targets, /target_tracking_controller/node_health, /mission_status, /mavros/setpoint_raw/local, /mavros/state] MAVROS arming service not available: timeout exceeded while waiting for service /mavros/cmd/arming
1788082973.193337678 INFO /target_tracking_controller [target_tracking_controller.py:126(TargetTrackingController.__init__)] [topics: /rosout, /mavros/setpoint_velocity/cmd_vel_unstamped, /detected_objects, /mavros/local_position/odom, /tracked_targets, /target_tracking_controller/node_health, /mission_status, /mavros/setpoint_raw/local, /mavros/state] Target Tracking Controller started in SEARCHING mode
1788082973.657927989 WARN /health_checker [health_checker.py:90(HealthChecker._check_health)] [topics: /system_health, /target_tracking_controller/node_health, /yolo_detector/node_health, /command_interpreter/node_health, /vehicle_state_monitor/node_health, /rosout, /mission_manager/node_health, /safety_monitor/node_health] Unhealthy nodes: 1
1788082973.661889076 WARN /health_checker [health_checker.py:92(HealthChecker._check_health)] [topics: /system_health, /target_tracking_controller/node_health, /yolo_detector/node_health, /command_interpreter/node_health, /vehicle_state_monitor/node_health, /rosout, /mission_manager/node_health, /safety_monitor/node_health]   target_tracking_controller: No health report
1788082985.039067506 INFO /performance_monitor [performance_monitor.py:100(PerformanceMonitor.__init__)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance Monitor initialized
1788082987.049671649 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788082989.044732093 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788082991.049295425 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788082992.054177284 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788082993.050030946 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788082994.053694725 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788082995.049744844 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788082996.054320096 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788082997.044775009 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788082997.057856082 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788082998.061024427 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788082998.355710268 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788082999.057735443 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788082999.113813161 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788082999.168967485 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083000.058600187 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083000.411180973 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083001.065469026 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083001.106623172 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083001.326859712 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083001.800386190 INFO /performance_monitor [performance_monitor.py:507(PerformanceMonitor.benchmark_application)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running application benchmark...
1788083001.915451288 INFO /performance_monitor [performance_monitor.py:360(PerformanceMonitor.run_benchmark)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Benchmark completed with overall score: 0.62
1788083001.950527191 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083002.073956251 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
