[rosmaster.main][INFO] 2026-08-30 00:17:39,506: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-30 00:17:39,510: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-30 00:17:39,518: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-08-30 00:17:39,522: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2026-08-30 00:17:39,523: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2026-08-30 00:17:39,523: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-30 00:17:39,558: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,562: +PARAM [/roslaunch/uris/host_localhost__36221] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,623: +PUB [/rosout] /trajectory_planner http://localhost:36207/
[rosmaster.master][INFO] 2026-08-30 00:17:39,641: +SERVICE [/trajectory_planner/get_loggers] /trajectory_planner http://localhost:36207/
[rosmaster.master][INFO] 2026-08-30 00:17:39,645: +SERVICE [/trajectory_planner/set_logger_level] /trajectory_planner http://localhost:36207/
[rosmaster.master][INFO] 2026-08-30 00:17:39,788: +SUB [/mavros/local_position/odom] /trajectory_planner http://localhost:36207/
[rosmaster.master][INFO] 2026-08-30 00:17:39,793: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,794: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,795: +PARAM [/target_params/detection/model/path] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,795: +PARAM [/target_params/detection/model/device] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,795: +PARAM [/target_params/detection/model/input_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,796: +PARAM [/target_params/detection/model/batch_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,796: +PARAM [/target_params/detection/confidence_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,798: +PARAM [/target_params/detection/nms_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 00:17:39,799: +PARAM [/target_params/detection/max_detections] by /roslaunch
