[rosmaster.main][INFO] 2026-08-30 08:27:42,939: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-30 08:27:42,942: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-30 08:27:42,947: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-08-30 08:27:42,950: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2026-08-30 08:27:42,952: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2026-08-30 08:27:42,952: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-30 08:27:43,048: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,051: +PARAM [/roslaunch/uris/host_localhost__36069] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,156: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,156: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,156: +PARAM [/target_params/detection/model/path] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,157: +PARAM [/target_params/detection/model/device] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,157: +PARAM [/target_params/detection/model/input_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,157: +PARAM [/target_params/detection/model/batch_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,157: +PARAM [/target_params/detection/confidence_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,158: +PARAM [/target_params/detection/nms_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,158: +PARAM [/target_params/detection/max_detections] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,158: +PARAM [/target_params/detection/vehicle_classes] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,159: +PARAM [/target_params/detection/class_thresholds/class_1] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,159: +PARAM [/target_params/detection/class_thresholds/class_2] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,159: +PARAM [/target_params/detection/class_thresholds/class_3] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,159: +PARAM [/target_params/detection/class_thresholds/class_5] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,159: +PARAM [/target_params/detection/class_thresholds/class_6] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,160: +PARAM [/target_params/detection/class_thresholds/class_7] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,160: +PARAM [/target_params/detection/class_thresholds/class_8] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,160: +PARAM [/target_params/detection/performance/max_fps] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,161: +PARAM [/target_params/detection/performance/frame_skip] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,161: +PARAM [/target_params/detection/performance/parallel_inference] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,161: +PARAM [/target_params/detection/performance/gpu_memory_limit] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,161: +PARAM [/target_params/tracking/engagement_distance] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,161: +PARAM [/target_params/tracking/attack_distance] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,162: +PARAM [/target_params/tracking/disengagement_distance] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,162: +PARAM [/target_params/tracking/max_tracks] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,162: +PARAM [/target_params/tracking/max_lost_frames] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,162: +PARAM [/target_params/tracking/min_track_length] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,163: +PARAM [/target_params/tracking/track_confidence_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,163: +PARAM [/target_params/tracking/association/iou_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,164: +PARAM [/target_params/tracking/association/distance_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,164: +PARAM [/target_params/tracking/association/appearance_weight] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,164: +PARAM [/target_params/tracking/association/motion_weight] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,165: +PARAM [/target_params/tracking/kalman/dt] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,165: +PARAM [/target_params/tracking/kalman/process_noise] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,165: +PARAM [/target_params/tracking/kalman/measurement_noise] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,165: +PARAM [/target_params/tracking/kalman/initial_velocity] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,166: +PARAM [/target_params/tracking/kalman/state_dim] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,166: +PARAM [/target_params/tracking/kalman/measurement_dim] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,166: +PARAM [/target_params/behavior/speed_classes/stationary] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,167: +PARAM [/target_params/behavior/speed_classes/slow] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,167: +PARAM [/target_params/behavior/speed_classes/medium] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,167: +PARAM [/target_params/behavior/speed_classes/fast] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,167: +PARAM [/target_params/behavior/speed_classes/extreme] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 08:27:43,167: +PARAM [/target_params/behavior/models/random_walk/noise_scale] by /roslaunch
