[rosmaster.main][INFO] 2026-08-30 10:08:48,508: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-08-30 10:08:48,512: Starting ROS Master Node
[xmlrpc][INFO] 2026-08-30 10:08:48,518: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-08-30 10:08:48,522: Started XML-RPC server [http://kamikaze:11311/]
[rosmaster.master][INFO] 2026-08-30 10:08:48,523: Master initialized: port[11311], uri[http://kamikaze:11311/]
[xmlrpc][INFO] 2026-08-30 10:08:48,523: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-08-30 10:08:48,565: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,569: +PARAM [/roslaunch/uris/host_kamikaze__46057] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,696: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,697: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,697: +PARAM [/target_params/detection/model/path] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,697: +PARAM [/target_params/detection/model/device] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,698: +PARAM [/target_params/detection/model/input_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,698: +PARAM [/target_params/detection/model/batch_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,699: +PARAM [/target_params/detection/confidence_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,699: +PARAM [/target_params/detection/nms_threshold] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,699: +PARAM [/target_params/detection/max_detections] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,699: +PARAM [/target_params/detection/vehicle_classes] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,699: +PARAM [/target_params/detection/class_thresholds/class_1] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,700: +PARAM [/target_params/detection/class_thresholds/class_2] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,700: +PARAM [/target_params/detection/class_thresholds/class_3] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,701: +PARAM [/target_params/detection/class_thresholds/class_5] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,701: +PARAM [/target_params/detection/class_thresholds/class_6] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,701: +PARAM [/target_params/detection/class_thresholds/class_7] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,702: +PARAM [/target_params/detection/class_thresholds/class_8] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,702: +PARAM [/target_params/detection/performance/max_fps] by /roslaunch
[rosmaster.master][INFO] 2026-08-30 10:08:48,702: +PARAM [/target_params/detection/performance/frame_skip] by /roslaunch
